"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 20 11:00:01 IDT 2022","Thu Oct 20 11:00:11 IDT 2022","10321","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test04_verifyUserDeletion","Test04 - Verify User Deletion","This test verifies the deletion of a user"
"broken","Thu Oct 20 11:00:46 IDT 2022","Thu Oct 20 11:00:56 IDT 2022","10384","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07 - Search Users","This test searches for users in a table, using DDT"
"broken","Thu Oct 20 11:00:35 IDT 2022","Thu Oct 20 11:00:46 IDT 2022","10324","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07 - Search Users","This test searches for users in a table, using DDT"
"failed","Thu Oct 20 11:00:22 IDT 2022","Thu Oct 20 11:00:24 IDT 2022","2404","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test06_verifyAvatarIcon","Test06 - Verify Avatar Icon","This test verifies the avatar image using Sikuli tool"
"broken","Thu Oct 20 10:59:40 IDT 2022","Thu Oct 20 10:59:50 IDT 2022","10369","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test02_verifyDefaultUsers","Test02 - Verify Default users","This test verifies the default users"
"broken","Thu Oct 20 10:59:50 IDT 2022","Thu Oct 20 11:00:01 IDT 2022","10337","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test03_createNewUser","Test03 - Verify New User","This test verifies a new user has been added successfully"
"passed","Thu Oct 20 10:59:37 IDT 2022","Thu Oct 20 10:59:39 IDT 2022","1809","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test01_verifyHeader","Test01 - Verify Header","This test verifies the main header"
"passed","Thu Oct 20 11:00:12 IDT 2022","Thu Oct 20 11:00:22 IDT 2022","10198","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test05_verifyProgressSteps","Test05 - Verify Progress Steps","This test verifies the default progress steps are displayed (using soft assertion"
"broken","Thu Oct 20 11:00:25 IDT 2022","Thu Oct 20 11:00:35 IDT 2022","10329","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07 - Search Users","This test searches for users in a table, using DDT"
